skill_name,skill_vector,reward,steps
agent0_skill0,0_0_0_0_0_0_0_0_0_0,0.000,100
agent0_skill1,1_0_0_0_0_0_0_0_0_0,0.000,100
agent0_skill2,2_0_0_0_0_0_0_0_0_0,0.000,100
agent1_skill0,0_0_0_0_0_0_0_0_0_0,0.000,100
agent1_skill1,0_1_0_0_0_0_0_0_0_0,0.000,100
agent1_skill2,0_2_0_0_0_0_0_0_0_0,0.000,100
agent2_skill0,0_0_0_0_0_0_0_0_0_0,0.000,100
agent2_skill1,0_0_1_0_0_0_0_0_0_0,0.000,100
agent2_skill2,0_0_2_0_0_0_0_0_0_0,0.000,100
agent3_skill0,0_0_0_0_0_0_0_0_0_0,0.000,100
agent3_skill1,0_0_0_1_0_0_0_0_0_0,0.000,100
agent3_skill2,0_0_0_2_0_0_0_0_0_0,0.000,100
agent4_skill0,0_0_0_0_0_0_0_0_0_0,0.000,100
agent4_skill1,0_0_0_0_1_0_0_0_0_0,0.000,100
agent4_skill2,0_0_0_0_2_0_0_0_0_0,0.000,100
